日期,地区,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊
1月21日,鄂州,0,0,0,0,0,0,0
1月22日,鄂州,0,0,0,0,0,0,0
1月23日,鄂州,0,0,0,0,0,0,0
1月24日,鄂州,1,0,0,1,0,0,1
1月25日,鄂州,1,0,0,0,0,0,1
1月26日,鄂州,20,0,0,19,0,0,20
1月27日,鄂州,57,0,0,37,0,0,57
1月28日,鄂州,84,0,1,27,0,1,83
1月29日,鄂州,123,0,2,39,0,1,121
1月30日,鄂州,189,0,6,66,0,4,183
1月31日,鄂州,227,0,9,38,0,3,218
2月1日,鄂州,278,0,13,51,0,4,265
2月2日,鄂州,306,2,15,28,2,2,289
2月3日,鄂州,332,4,18,26,2,3,310
2月4日,鄂州,382,6,18,50,2,0,358
2月5日,鄂州,423,8,18,41,2,0,397
2月6日,鄂州,471,9,18,48,1,0,444
2月7日,鄂州,569,11,20,98,2,2,538
2月8日,鄂州,639,42,21,70,31,1,576
2月9日,鄂州,725,48,24,86,6,3,653
2月10日,鄂州,790,61,26,65,13,2,703
2月11日,鄂州,861,72,28,71,11,2,761
2月12日,鄂州,1065,95,30,204,23,2,940
2月13日,鄂州,1125,116,32,60,21,2,977
1月21日,恩施州,0,0,0,0,0,0,0
1月22日,恩施州,0,0,0,0,0,0,0
1月23日,恩施州,0,0,0,0,0,0,0
1月24日,恩施州,11,0,0,11,0,0,11
1月25日,恩施州,17,0,0,6,0,0,17
1月26日,恩施州,25,0,0,8,0,0,25
1月27日,恩施州,38,0,0,13,0,0,38
1月28日,恩施州,51,0,0,13,0,0,51
1月29日,恩施州,66,0,0,15,0,0,66
1月30日,恩施州,75,0,0,9,0,0,75
1月31日,恩施州,87,0,0,12,0,0,87
2月1日,恩施州,105,1,0,18,1,0,104
2月2日,恩施州,111,5,0,6,4,0,106
2月3日,恩施州,123,5,0,12,0,0,118
2月4日,恩施州,138,6,0,15,1,0,132
2月5日,恩施州,144,10,0,6,4,0,134
2月6日,恩施州,157,10,0,13,0,0,147
2月7日,恩施州,160,13,0,3,3,0,147
2月8日,恩施州,171,20,0,11,7,0,151
2月9日,恩施州,187,24,0,16,4,0,163
2月10日,恩施州,195,31,2,8,7,2,162
2月11日,恩施州,203,38,3,8,7,1,162
2月12日,恩施州,229,48,4,26,10,1,177
2月13日,恩施州,237,58,4,8,10,0,175
1月21日,黄冈,12,0,0,0,0,0,12
1月22日,黄冈,12,0,0,0,0,0,12
1月23日,黄冈,12,0,0,0,0,0,12
1月24日,黄冈,64,0,0,52,0,0,64
1月25日,黄冈,122,2,2,58,2,2,118
1月26日,黄冈,154,2,4,32,0,2,148
1月27日,黄冈,213,2,4,59,0,0,207
1月28日,黄冈,324,2,5,111,0,1,317
1月29日,黄冈,496,5,12,172,3,7,479
1月30日,黄冈,573,6,12,77,1,0,555
1月31日,黄冈,726,17,14,153,11,2,695
2月1日,黄冈,1002,27,15,276,10,1,960
2月2日,黄冈,1246,32,17,244,5,2,1197
2月3日,黄冈,1422,41,19,176,9,2,1362
2月4日,黄冈,1645,52,25,223,11,6,1568
2月5日,黄冈,1807,62,29,162,10,4,1716
2月6日,黄冈,1897,68,32,90,6,3,1797
2月7日,黄冈,2041,105,36,144,37,4,1900
2月8日,黄冈,2141,137,43,100,32,7,1961
2月9日,黄冈,2252,189,45,111,52,2,2018
2月10日,黄冈,2332,279,52,80,90,7,2001
2月11日,黄冈,2398,338,54,66,59,2,2006
2月12日,黄冈,2662,427,58,264,89,4,2177
2月13日,黄冈,2791,504,59,129,77,1,2228
1月21日,黄石,0,0,0,0,0,0,0
1月22日,黄石,0,0,0,0,0,0,0
1月23日,黄石,0,0,0,0,0,0,0
1月24日,黄石,0,0,0,0,0,0,0
1月25日,黄石,31,0,1,31,0,1,30
1月26日,黄石,36,0,1,5,0,0,35
1月27日,黄石,53,0,1,17,0,0,52
1月28日,黄石,86,0,1,33,0,0,85
1月29日,黄石,113,0,1,27,0,0,112
1月30日,黄石,168,0,1,55,0,0,167
1月31日,黄石,209,0,2,41,0,1,207
2月1日,黄石,252,1,2,43,1,0,249
2月2日,黄石,334,9,2,82,8,0,323
2月3日,黄石,405,10,2,71,1,0,393
2月4日,黄石,509,18,2,104,8,0,489
2月5日,黄石,566,25,2,57,7,0,539
2月6日,黄石,635,31,2,69,6,0,602
2月7日,黄石,703,43,2,68,12,0,658
2月8日,黄石,760,53,2,57,10,0,705
2月9日,黄石,805,67,3,45,14,1,735
2月10日,黄石,835,82,5,30,15,2,748
2月11日,黄石,874,96,6,39,14,1,772
2月12日,黄石,911,113,9,37,17,3,789
2月13日,黄石,943,137,11,32,24,2,795
1月21日,荆门,0,0,0,0,0,0,0
1月22日,荆门,1,0,0,1,0,0,1
1月23日,荆门,8,0,0,7,0,0,8
1月24日,荆门,21,0,0,13,0,0,21
1月25日,荆门,38,0,1,17,0,1,37
1月26日,荆门,90,0,3,52,0,2,87
1月27日,荆门,114,0,3,24,0,0,111
1月28日,荆门,142,0,4,28,0,1,138
1月29日,荆门,191,0,4,49,0,0,187
1月30日,荆门,227,0,5,36,0,1,222
1月31日,荆门,251,1,5,24,1,0,245
2月1日,荆门,329,3,7,78,2,2,319
2月2日,荆门,345,6,11,16,3,4,328
2月3日,荆门,400,6,14,55,0,3,380
2月4日,荆门,422,16,16,22,10,2,390
2月5日,荆门,508,21,17,86,5,1,470
2月6日,荆门,553,24,17,45,3,0,512
2月7日,荆门,588,36,18,35,12,1,534
2月8日,荆门,629,48,19,41,12,1,562
2月9日,荆门,641,63,20,12,15,1,558
2月10日,荆门,656,69,21,15,6,1,566
2月11日,荆门,696,81,24,40,12,3,591
2月12日,荆门,927,92,24,231,11,0,811
2月13日,荆门,901,105,25,-26,13,1,771
1月21日,荆州,0,0,0,0,0,0,0
1月22日,荆州,6,0,0,6,0,0,6
1月23日,荆州,8,0,0,2,0,0,8
1月24日,荆州,10,0,0,2,0,0,10
1月25日,荆州,33,0,2,23,0,2,31
1月26日,荆州,47,0,2,14,0,0,45
1月27日,荆州,71,0,2,24,0,0,69
1月28日,荆州,101,0,2,30,0,0,99
1月29日,荆州,151,0,3,50,0,1,148
1月30日,荆州,221,0,3,70,0,0,218
1月31日,荆州,287,1,4,66,1,1,282
2月1日,荆州,333,1,4,46,0,0,328
2月2日,荆州,499,3,6,166,2,2,490
2月3日,荆州,613,6,7,114,3,1,600
2月4日,荆州,713,9,9,100,3,2,695
2月5日,荆州,801,18,10,88,9,1,773
2月6日,荆州,885,22,10,84,4,0,853
2月7日,荆州,941,29,11,56,7,1,901
2月8日,荆州,997,33,13,56,4,2,951
2月9日,荆州,1045,45,15,48,12,2,985
2月10日,荆州,1075,55,17,30,10,2,1003
2月11日,荆州,1110,79,21,35,24,4,1010
2月12日,荆州,1431,101,23,321,22,2,1307
2月13日,荆州,1447,158,27,16,57,4,1262
1月21日,潜江,0,0,0,0,0,0,0
1月22日,潜江,0,0,0,0,0,0,0
1月23日,潜江,0,0,0,0,0,0,0
1月24日,潜江,0,0,0,0,0,0,0
1月25日,潜江,0,0,0,0,0,0,0
1月26日,潜江,5,0,1,5,0,1,4
1月27日,潜江,7,0,1,2,0,0,6
1月28日,潜江,8,0,1,1,0,0,7
1月29日,潜江,10,0,1,2,0,0,9
1月30日,潜江,12,0,1,2,0,0,11
1月31日,潜江,27,0,1,15,0,0,26
2月1日,潜江,35,0,1,8,0,0,34
2月2日,潜江,35,0,1,0,0,0,34
2月3日,潜江,44,0,1,9,0,0,43
2月4日,潜江,54,0,1,10,0,0,53
2月5日,潜江,64,0,1,10,0,0,63
2月6日,潜江,74,0,1,10,0,0,73
2月7日,潜江,80,1,2,6,1,1,77
2月8日,潜江,82,2,2,2,1,0,78
2月9日,潜江,85,3,2,3,1,0,80
2月10日,潜江,90,3,3,5,0,1,84
2月11日,潜江,90,8,5,0,5,2,77
2月12日,潜江,94,8,5,4,0,0,81
2月13日,潜江,104,11,5,10,3,0,88
1月21日,神农架,0,0,0,0,0,0,0
1月22日,神农架,0,0,0,0,0,0,0
1月23日,神农架,0,0,0,0,0,0,0
1月24日,神农架,0,0,0,0,0,0,0
1月25日,神农架,0,0,0,0,0,0,0
1月26日,神农架,0,0,0,0,0,0,0
1月27日,神农架,1,0,0,1,0,0,1
1月28日,神农架,3,0,0,2,0,0,3
1月29日,神农架,5,0,0,2,0,0,5
1月30日,神农架,7,2,0,2,2,0,5
1月31日,神农架,7,2,0,0,0,0,5
2月1日,神农架,7,2,0,0,0,0,5
2月2日,神农架,7,2,0,0,0,0,5
2月3日,神农架,10,2,0,3,0,0,8
2月4日,神农架,10,2,0,0,0,0,8
2月5日,神农架,10,2,0,0,0,0,8
2月6日,神农架,10,2,0,0,0,0,8
2月7日,神农架,10,2,0,0,0,0,8
2月8日,神农架,10,2,0,0,0,0,8
2月9日,神农架,10,6,0,0,4,0,4
2月10日,神农架,10,6,0,0,0,0,4
2月11日,神农架,10,7,0,0,1,0,3
2月12日,神农架,10,8,0,0,1,0,2
2月13日,神农架,10,8,0,0,0,0,2
1月21日,十堰,0,0,0,0,0,0,0
1月22日,十堰,0,0,0,0,0,0,0
1月23日,十堰,1,0,0,1,0,0,1
1月24日,十堰,5,0,0,4,0,0,5
1月25日,十堰,20,0,0,15,0,0,20
1月26日,十堰,40,0,0,20,0,0,40
1月27日,十堰,65,0,0,25,0,0,65
1月28日,十堰,88,0,0,23,0,0,88
1月29日,十堰,119,0,0,31,0,0,119
1月30日,十堰,150,0,0,31,0,0,150
1月31日,十堰,177,0,0,27,0,0,177
2月1日,十堰,212,0,0,35,0,0,212
2月2日,十堰,256,2,0,44,2,0,254
2月3日,十堰,291,6,0,35,4,0,285
2月4日,十堰,318,9,0,27,3,0,309
2月5日,十堰,353,14,0,35,5,0,339
2月6日,十堰,395,24,0,42,10,0,371
2月7日,十堰,438,33,0,43,9,0,405
2月8日,十堰,467,40,0,29,7,0,427
2月9日,十堰,481,46,0,14,6,0,435
2月10日,十堰,505,59,1,24,13,1,445
2月11日,十堰,536,70,1,31,11,0,465
2月12日,十堰,562,81,1,26,11,0,480
2月13日,十堰,586,89,2,24,8,1,495
1月21日,随州,0,0,0,0,0,0,0
1月22日,随州,0,0,0,0,0,0,0
1月23日,随州,0,0,0,0,0,0,0
1月24日,随州,5,0,0,5,0,0,5
1月25日,随州,36,0,0,31,0,0,36
1月26日,随州,52,0,0,16,0,0,52
1月27日,随州,70,0,0,18,0,0,70
1月28日,随州,116,0,0,46,0,0,116
1月29日,随州,143,0,0,27,0,0,143
1月30日,随州,228,0,0,85,0,0,228
1月31日,随州,304,0,1,76,0,1,303
2月1日,随州,384,3,3,80,3,2,378
2月2日,随州,458,3,5,74,0,2,450
2月3日,随州,641,3,6,183,0,1,632
2月4日,随州,706,9,8,65,6,2,689
2月5日,随州,834,9,9,128,0,1,816
2月6日,随州,915,9,9,81,0,0,897
2月7日,随州,953,23,9,38,14,0,921
2月8日,随州,984,23,9,31,0,0,952
2月9日,随州,1049,23,10,65,0,1,1016
