platform,globalsale,year,id
Wii,137.91,2006,Wii-2006
Wii,154.97,2007,Wii-2007
Wii,174.16,2008,Wii-2008
Wii,210.44,2009,Wii-2009
Wii,131.8,2010,Wii-2010
Wii,62.41,2011,Wii-2011
Wii,22.77,2012,Wii-2012
Wii,9.36,2013,Wii-2013
Wii,4.44,2014,Wii-2014
Wii,1.55,2015,Wii-2015
Wii,0,2016,Wii-2016
Wii,0,2017,Wii-2017
Wii,0,2018,Wii-2018
Wii,0,2019,Wii-2019
Wii,0,2020,Wii-2020
NES,53.44,1985,NES-1985
NES,36.41,1986,NES-1986
NES,19.76,1987,NES-1987
NES,45.01,1988,NES-1988
NES,7.85,1989,NES-1989
NES,15.74,1990,NES-1990
NES,6.11,1991,NES-1991
NES,1.98,1992,NES-1992
NES,3.61,1993,NES-1993
NES,0.11,1994,NES-1994
NES,0,1995,NES-1995
NES,0,1996,NES-1996
NES,0,1997,NES-1997
NES,0,1998,NES-1998
NES,0,1999,NES-1999
NES,0,2000,NES-2000
NES,0,2001,NES-2001
NES,0,2002,NES-2002
NES,0,2003,NES-2003
NES,0,2004,NES-2004
NES,0,2005,NES-2005
NES,0,2006,NES-2006
NES,0,2007,NES-2007
NES,0,2008,NES-2008
NES,0,2009,NES-2009
NES,0,2010,NES-2010
NES,0,2011,NES-2011
NES,0,2012,NES-2012
NES,0,2013,NES-2013
NES,0,2014,NES-2014
NES,0,2015,NES-2015
NES,0,2016,NES-2016
NES,0,2017,NES-2017
NES,0,2018,NES-2018
NES,0,2019,NES-2019
NES,0,2020,NES-2020
GB,36.02,1996,GB-1996
GB,6.37,1997,GB-1997
GB,26.9,1998,GB-1998
GB,38.01,1999,GB-1999
GB,19.76,2000,GB-2000
GB,9.24,2001,GB-2001
GB,0,2002,GB-2002
GB,0,2003,GB-2003
GB,0,2004,GB-2004
GB,0,2005,GB-2005
GB,0,2006,GB-2006
GB,0,2007,GB-2007
GB,0,2008,GB-2008
GB,0,2009,GB-2009
GB,0,2010,GB-2010
GB,0,2011,GB-2011
GB,0,2012,GB-2012
GB,0,2013,GB-2013
GB,0,2014,GB-2014
GB,0,2015,GB-2015
GB,0,2016,GB-2016
GB,0,2017,GB-2017
GB,0,2018,GB-2018
GB,0,2019,GB-2019
GB,0,2020,GB-2020
GB,64.98,1989,GB-1989
GB,4.89,1990,GB-1990
GB,5.57,1991,GB-1991
GB,25.48,1992,GB-1992
GB,0,1993,GB-1993
GB,12.17,1994,GB-1994
GB,3.6,1995,GB-1995
DS,121.15,2006,DS-2006
DS,149.36,2007,DS-2007
DS,147.89,2008,DS-2008
DS,121.99,2009,DS-2009
DS,87.98,2010,DS-2010
DS,27.8,2011,DS-2011
DS,11.64,2012,DS-2012
DS,1.96,2013,DS-2013
DS,0.02,2014,DS-2014
DS,0,2015,DS-2015
DS,0,2016,DS-2016
DS,0,2017,DS-2017
DS,0,2018,DS-2018
DS,0,2019,DS-2019
DS,0.29,2020,DS-2020
NES,50.09,1984,NES-1984
DS,131.4,2005,DS-2005
X360,171.05,2010,X360-2010
X360,145.12,2011,X360-2011
X360,100.88,2012,X360-2012
X360,89.61,2013,X360-2013
X360,36.42,2014,X360-2014
X360,13.05,2015,X360-2015
X360,0.83,2016,X360-2016
X360,0,2017,X360-2017
X360,0,2018,X360-2018
X360,0,2019,X360-2019
X360,0,2020,X360-2020
PS3,117.39,2013,PS3-2013
PS3,50.96,2014,PS3-2014
PS3,18.22,2015,PS3-2015
PS3,2.59,2016,PS3-2016
PS3,0,2017,PS3-2017
PS3,0,2018,PS3-2018
PS3,0,2019,PS3-2019
PS3,0,2020,PS3-2020
PS2,211.78,2004,PS2-2004
PS2,160.65,2005,PS2-2005
PS2,103.42,2006,PS2-2006
PS2,76.0,2007,PS2-2007
PS2,53.83,2008,PS2-2008
PS2,26.45,2009,PS2-2009
PS2,5.63,2010,PS2-2010
PS2,0.47,2011,PS2-2011
PS2,0,2012,PS2-2012
PS2,0,2013,PS2-2013
PS2,0,2014,PS2-2014
PS2,0,2015,PS2-2015
PS2,0,2016,PS2-2016
PS2,0,2017,PS2-2017
PS2,0,2018,PS2-2018
PS2,0,2019,PS2-2019
PS2,0,2020,PS2-2020
SNES,26.16,1990,SNES-1990
SNES,16.21,1991,SNES-1991
SNES,32.98,1992,SNES-1992
SNES,40.01,1993,SNES-1993
SNES,35.08,1994,SNES-1994
SNES,32.21,1995,SNES-1995
SNES,15.93,1996,SNES-1996
SNES,0.99,1997,SNES-1997
SNES,0.22,1998,SNES-1998
SNES,0.26,1999,SNES-1999
SNES,0,2000,SNES-2000
SNES,0,2001,SNES-2001
SNES,0,2002,SNES-2002
SNES,0,2003,SNES-2003
SNES,0,2004,SNES-2004
SNES,0,2005,SNES-2005
SNES,0,2006,SNES-2006
SNES,0,2007,SNES-2007
SNES,0,2008,SNES-2008
SNES,0,2009,SNES-2009
SNES,0,2010,SNES-2010
SNES,0,2011,SNES-2011
SNES,0,2012,SNES-2012
SNES,0,2013,SNES-2013
SNES,0,2014,SNES-2014
SNES,0,2015,SNES-2015
SNES,0,2016,SNES-2016
SNES,0,2017,SNES-2017
SNES,0,2018,SNES-2018
SNES,0,2019,SNES-2019
SNES,0,2020,SNES-2020
PS2,205.4,2002,PS2-2002
PS2,184.29,2003,PS2-2003
GBA,74.38,2002,GBA-2002
GBA,56.73,2003,GBA-2003
GBA,78.09,2004,GBA-2004
GBA,33.9,2005,GBA-2005
GBA,5.35,2006,GBA-2006
GBA,3.43,2007,GBA-2007
GBA,0,2008,GBA-2008
GBA,0,2009,GBA-2009
GBA,0,2010,GBA-2010
GBA,0,2011,GBA-2011
GBA,0,2012,GBA-2012
GBA,0,2013,GBA-2013
GBA,0,2014,GBA-2014
GBA,0,2015,GBA-2015
GBA,0,2016,GBA-2016
GBA,0,2017,GBA-2017
GBA,0,2018,GBA-2018
GBA,0,2019,GBA-2019
GBA,0,2020,GBA-2020
PS2,166.43,2001,PS2-2001
3DS,55.88,2013,3DS-2013
3DS,43.14,2014,3DS-2014
3DS,26.99,2015,3DS-2015
3DS,6.6,2016,3DS-2016
3DS,0,2017,3DS-2017
3DS,0,2018,3DS-2018
3DS,0,2019,3DS-2019
3DS,0,2020,3DS-2020
PS4,115.3,2015,PS4-2015
PS4,39.25,2016,PS4-2016
PS4,0.03,2017,PS4-2017
PS4,0,2018,PS4-2018
PS4,0,2019,PS4-2019
PS4,0,2020,PS4-2020
PS3,109.49,2012,PS3-2012
