日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散曲线
2020/1/21,安徽,1,0,0,0,0,0,1,0
2020/1/22,安徽,9,0,0,8,0,0,9,8
2020/1/23,安徽,15,0,0,6,0,0,15,0.666666667
2020/1/24,安徽,39,0,0,24,0,0,39,1.6
2020/1/25,安徽,60,0,0,21,0,0,60,0.538461538
2020/1/26,安徽,70,0,0,10,0,0,70,0.166666667
2020/1/27,安徽,106,0,0,36,0,0,106,0.514285714
2020/1/28,安徽,152,2,0,46,2,0,150,0.433962264
2020/1/29,安徽,200,3,0,48,1,0,197,0.32
2020/1/30,安徽,237,3,0,37,0,0,234,0.187817259
2020/1/31,安徽,297,5,0,60,2,0,292,0.256410256
2020/2/1,安徽,340,6,0,43,1,0,334,0.147260274
2020/2/2,安徽,408,8,0,68,2,0,400,0.203592814
2020/2/3,安徽,480,14,0,72,6,0,466,0.18
2020/2/4,安徽,530,20,0,50,6,0,510,0.107296137
2020/2/5,安徽,591,23,0,61,3,0,568,0.119607843
2020/2/6,安徽,665,47,0,74,24,0,618,0.13028169
2020/2/7,安徽,733,59,0,68,12,0,674,0.110032362
2020/2/8,安徽,779,72,1,46,13,1,706,0.068249258
2020/2/9,安徽,830,89,3,51,17,2,738,0.07223796
2020/2/10,安徽,860,108,4,30,19,1,748,0.040650407
2020/2/11,安徽,889,128,4,29,20,0,757,0.038770053
2020/2/12,安徽,910,166,5,21,38,1,739,0.027741083
2020/2/13,安徽,934,196,6,24,30,1,732,0.032476319
2020/2/14,安徽,950,232,6,16,36,0,712,0.021857923
2020/2/15,安徽,962,266,6,12,34,0,690,0.016853933
2020/2/16,安徽,973,293,6,11,27,0,674,0.015942029
2020/2/17,安徽,982,361,6,9,68,0,615,0.013353116
2020/2/18,安徽,986,424,6,4,63,0,556,0.006504065
2020/2/19,安徽,987,500,6,1,76,0,481,0.001798561
2020/2/20,安徽,988,567,6,1,67,0,415,0.002079002
2020/2/21,安徽,989,620,6,1,53,0,363,0.002409639
2020/2/22,安徽,989,648,6,0,28,0,335,0
