日期,地区,确诊人数,死亡人数,治愈人数,扩散曲线,消亡曲线,拐点曲线,三日平均扩散曲线,三日平均消亡曲线,三日平均拐点曲线,插值出院天数,插值三日平均出院天数
1月21日,鄂州,0,0,0,0,0,0,0,0,0,0,0
1月22日,鄂州,0,0,0,0,0,0,0,0,0,0,0
1月23日,鄂州,0,0,0,0,0,0,0,0,0,0,0
1月24日,鄂州,1,0,0,0,0,0,0,0,0,0,0
1月25日,鄂州,1,0,0,0,0,0,0,0,0,0,0
1月26日,鄂州,20,0,0,19,0,-19,6.333333333,0,-6.333333333,0,0
1月27日,鄂州,57,0,0,1.85,0,-1.85,6.95,0,-6.95,0,0
1月28日,鄂州,84,1,0,0.473684211,0.01754386,-0.456140351,7.107894737,0.005847953,-7.102046784,3,1
1月29日,鄂州,123,2,0,0.464285714,0.011904762,-0.452380952,0.929323308,0.009816207,-0.919507101,3.947368421,2.315789474
1月30日,鄂州,189,6,0,0.536585366,0.032520325,-0.504065041,0.49151843,0.020656316,-0.470862115,4.736842105,3.894736842
1月31日,鄂州,227,9,0,0.201058201,0.015873016,-0.185185185,0.400643094,0.020099368,-0.380543726,5.578947368,4.754385965
2月1日,鄂州,278,13,0,0.224669604,0.017621145,-0.207048458,0.320771057,0.022004829,-0.298766228,6.368421053,5.561403509
2月2日,鄂州,306,15,2,0.100719424,0.014388489,-0.086330935,0.17548241,0.015960883,-0.159521526,7.157894737,6.368421053
2月3日,鄂州,332,18,3,0.08496732,0.013071895,-0.071895425,0.136785449,0.015027177,-0.121758273,7.972972973,7.166429587
2月4日,鄂州,382,18,6,0.15060241,0.009036145,-0.141566265,0.112096385,0.01216551,-0.099930875,8.891891892,8.007586534
2月5日,鄂州,423,18,8,0.107329843,0.005235602,-0.102094241,0.114299858,0.009114547,-0.10518531,9.837837838,8.900900901
2月6日,鄂州,471,18,9,0.113475177,0.002364066,-0.111111111,0.123802477,0.005545271,-0.118257206,10.81081081,9.846846847
2月7日,鄂州,569,20,11,0.208067941,0.008492569,-0.199575372,0.142957654,0.005364079,-0.137593574,11.7027027,10.78378378
2月8日,鄂州,639,21,42,0.123022847,0.056239016,-0.066783831,0.148188655,0.022365217,-0.125823438,11.77777778,11.43043043
2月9日,鄂州,725,24,48,0.13458529,0.014084507,-0.120500782,0.155225359,0.026272031,-0.128953328,12.44444444,11.97497497
2月10日,鄂州,790,26,61,0.089655172,0.020689655,-0.068965517,0.115754436,0.030337726,-0.08541671,12.92307692,12.38176638
1月21日,恩施州,0,0,0,-1,-0.110126582,0.889873418,-0.258586513,-0.025117473,0.233469039,0,8.455840456
1月22日,恩施州,0,0,0,0,0,0,-0.303448276,-0.029812309,0.273635967,0,4.307692308
1月23日,恩施州,0,0,0,0,0,0,-0.333333333,-0.036708861,0.296624473,0,0
1月24日,恩施州,11,0,0,0,0,0,0,0,0,0,0
1月25日,恩施州,17,0,0,0.545454545,0,-0.545454545,0.181818182,0,-0.181818182,0,0
1月26日,恩施州,25,0,0,0.470588235,0,-0.470588235,0.338680927,0,-0.338680927,0,0
1月27日,恩施州,38,0,0,0.52,0,-0.52,0.51201426,0,-0.51201426,0,0
1月28日,恩施州,51,0,0,0.342105263,0,-0.342105263,0.444231166,0,-0.444231166,0,0
1月29日,恩施州,66,0,0,0.294117647,0,-0.294117647,0.385407637,0,-0.385407637,0,0
1月30日,恩施州,75,0,0,0.136363636,0,-0.136363636,0.257528849,0,-0.257528849,0,0
1月31日,恩施州,87,0,0,0.16,0,-0.16,0.196827094,0,-0.196827094,0,0
2月1日,恩施州,105,0,1,0.206896552,0.011494253,-0.195402299,0.167753396,0.003831418,-0.163921978,8.909090909,2.96969697
2月2日,恩施州,111,0,5,0.057142857,0.038095238,-0.019047619,0.14134647,0.01652983,-0.124816639,9.545454545,6.151515152
