日期,地区,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
2020/1/21,鄂州,0,0,0,0,0,0,0,0
2020/1/22,鄂州,0,0,0,0,0,0,0,0
2020/1/23,鄂州,0,0,0,0,0,0,0,0
2020/1/24,鄂州,1,0,0,1,0,0,1,0
2020/1/25,鄂州,1,0,0,0,0,0,1,0
2020/1/26,鄂州,20,0,0,19,0,0,20,19
2020/1/27,鄂州,57,0,0,37,0,0,57,1.85
2020/1/28,鄂州,84,0,1,27,0,1,83,0.473684211
2020/1/29,鄂州,123,0,2,39,0,1,121,0.469879518
2020/1/30,鄂州,189,0,6,66,0,4,183,0.545454545
2020/1/31,鄂州,227,0,9,38,0,3,218,0.207650273
2020/2/1,鄂州,278,0,13,51,0,4,265,0.233944954
2020/2/2,鄂州,306,2,15,28,2,2,289,0.105660377
2020/2/3,鄂州,332,4,18,26,2,3,310,0.089965398
2020/2/4,鄂州,382,6,18,50,2,0,358,0.161290323
2020/2/5,鄂州,423,8,18,41,2,0,397,0.11452514
2020/2/6,鄂州,471,9,18,48,1,0,444,0.120906801
2020/2/7,鄂州,569,11,20,98,2,2,538,0.220720721
2020/2/8,鄂州,639,42,21,70,31,1,576,0.130111524
2020/2/9,鄂州,725,48,24,86,6,3,653,0.149305556
2020/2/10,鄂州,790,61,26,65,13,2,703,0.099540582
2020/2/11,鄂州,861,72,28,71,11,2,761,0.100995733
2020/2/12,鄂州,1056,95,30,195,23,2,931,0.256241787
2020/2/13,鄂州,1125,116,32,69,21,2,977,0.074113856
2020/2/14,鄂州,1192,199,33,67,83,1,960,0.068577277
2020/2/15,鄂州,1230,222,34,38,23,1,974,0.039583333
2020/2/16,鄂州,1274,244,35,44,22,1,995,0.045174538
2020/2/17,鄂州,1339,265,36,65,21,1,1038,0.065326633
2020/2/18,鄂州,1343,301,37,4,36,1,1005,0.003853565
2020/2/19,鄂州,1368,350,38,25,49,1,980,0.024875622
2020/2/20,鄂州,1373,375,39,5,25,1,959,0.005102041
2020/2/21,鄂州,1375,386,39,2,11,0,950,0.002085506
2020/1/21,恩施州,0,0,0,0,0,0,0,0
2020/1/22,恩施州,0,0,0,0,0,0,0,0
2020/1/23,恩施州,0,0,0,0,0,0,0,0
2020/1/24,恩施州,11,0,0,11,0,0,11,0
2020/1/25,恩施州,17,0,0,6,0,0,17,0.545454545
2020/1/26,恩施州,25,0,0,8,0,0,25,0.470588235
2020/1/27,恩施州,38,0,0,13,0,0,38,0.52
2020/1/28,恩施州,51,0,0,13,0,0,51,0.342105263
2020/1/29,恩施州,66,0,0,15,0,0,66,0.294117647
2020/1/30,恩施州,75,0,0,9,0,0,75,0.136363636
2020/1/31,恩施州,87,0,0,12,0,0,87,0.16
2020/2/1,恩施州,105,1,0,18,1,0,104,0.206896552
2020/2/2,恩施州,111,5,0,6,4,0,106,0.057692308
2020/2/3,恩施州,123,5,0,12,0,0,118,0.113207547
2020/2/4,恩施州,138,6,0,15,1,0,132,0.127118644
2020/2/5,恩施州,144,10,0,6,4,0,134,0.045454545
2020/2/6,恩施州,157,10,0,13,0,0,147,0.097014925
2020/2/7,恩施州,160,13,0,3,3,0,147,0.020408163
2020/2/8,恩施州,171,20,0,11,7,0,151,0.074829932
2020/2/9,恩施州,187,24,0,16,4,0,163,0.105960265
2020/2/10,恩施州,195,31,2,8,7,2,162,0.049079755
2020/2/11,恩施州,203,38,3,8,7,1,162,0.049382716
2020/2/12,恩施州,229,48,3,26,10,0,178,0.160493827
2020/2/13,恩施州,237,58,3,8,10,0,176,0.04494382
2020/2/14,恩施州,244,71,3,7,13,0,170,0.039772727
2020/2/15,恩施州,247,76,3,3,5,0,168,0.017647059
2020/2/16,恩施州,249,81,3,2,5,0,165,0.011904762
2020/2/17,恩施州,249,90,3,0,9,0,156,0
2020/2/18,恩施州,249,96,3,0,6,0,150,0
2020/2/19,恩施州,249,102,3,0,6,0,144,0
2020/2/20,恩施州,250,112,3,1,10,0,135,0.006944444
2020/2/21,恩施州,251,117,3,1,5,0,131,0.007407407
2020/1/21,黄冈,12,0,0,0,0,0,12,0
2020/1/22,黄冈,12,0,0,0,0,0,12,0
2020/1/23,黄冈,12,0,0,0,0,0,12,0
2020/1/24,黄冈,64,0,0,52,0,0,64,4.333333333
2020/1/25,黄冈,122,2,2,58,2,2,118,0.90625
2020/1/26,黄冈,154,2,4,32,0,2,148,0.271186441
2020/1/27,黄冈,213,2,4,59,0,0,207,0.398648649
2020/1/28,黄冈,324,2,5,111,0,1,317,0.536231884
2020/1/29,黄冈,496,5,12,172,3,7,479,0.542586751
2020/1/30,黄冈,573,6,12,77,1,0,555,0.160751566
2020/1/31,黄冈,726,17,14,153,11,2,695,0.275675676
2020/2/1,黄冈,1002,27,15,276,10,1,960,0.397122302
2020/2/2,黄冈,1246,32,17,244,5,2,1197,0.254166667
2020/2/3,黄冈,1422,41,19,176,9,2,1362,0.147034252
2020/2/4,黄冈,1645,52,25,223,11,6,1568,0.163729809
2020/2/5,黄冈,1807,62,29,162,10,4,1716,0.103316327
2020/2/6,黄冈,1897,68,32,90,6,3,1797,0.052447552
2020/2/7,黄冈,2041,105,36,144,37,4,1900,0.080133556
2020/2/8,黄冈,2141,137,43,100,32,7,1961,0.052631579
2020/2/9,黄冈,2252,189,45,111,52,2,2018,0.056603774
2020/2/10,黄冈,2332,279,52,80,90,7,2001,0.039643211
2020/2/11,黄冈,2398,338,54,66,59,2,2006,0.032983508
2020/2/12,黄冈,2628,427,58,230,89,4,2143,0.114656032
2020/2/13,黄冈,2791,504,59,163,77,1,2228,0.076061596
2020/2/14,黄冈,2817,611,68,26,107,9,2138,0.011669659
2020/2/15,黄冈,2823,716,75,6,105,7,2032,0.002806361
2020/2/16,黄冈,2828,838,78,5,122,3,1912,0.00246063
2020/2/17,黄冈,2828,941,84,0,103,6,1803,0
2020/2/18,黄冈,2844,1059,85,16,118,1,1700,0.008874099
2020/2/19,黄冈,2866,1149,87,22,90,2,1630,0.012941176
2020/2/20,黄冈,2883,1274,90,17,125,3,1519,0.010429448
2020/2/21,黄冈,2899,1408,95,16,134,5,1396,0.010533246
2020/1/21,黄石,0,0,0,0,0,0,0,0
2020/1/22,黄石,0,0,0,0,0,0,0,0
2020/1/23,黄石,0,0,0,0,0,0,0,0
2020/1/24,黄石,0,0,0,0,0,0,0,0
2020/1/25,黄石,31,0,1,31,0,1,30,0
2020/1/26,黄石,36,0,1,5,0,0,35,0.166666667
2020/1/27,黄石,53,0,1,17,0,0,52,0.485714286
2020/1/28,黄石,86,0,1,33,0,0,85,0.634615385
