日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
1月21日,安徽,1,0,0,0,0,0,1,0
1月22日,安徽,9,0,0,8,0,0,9,8
1月23日,安徽,15,0,0,6,0,0,15,0.666666667
1月24日,安徽,39,0,0,24,0,0,39,1.6
1月25日,安徽,60,0,0,21,0,0,60,0.538461538
1月26日,安徽,70,0,0,10,0,0,70,0.166666667
1月27日,安徽,106,0,0,36,0,0,106,0.514285714
1月28日,安徽,152,2,0,46,2,0,150,0.433962264
1月29日,安徽,200,3,0,48,1,0,197,0.32
1月30日,安徽,237,3,0,37,0,0,234,0.187817259
1月31日,安徽,297,5,0,60,2,0,292,0.256410256
2月1日,安徽,340,6,0,43,1,0,334,0.147260274
2月2日,安徽,408,8,0,68,2,0,400,0.203592814
2月3日,安徽,480,14,0,72,6,0,466,0.18
2月4日,安徽,530,20,0,50,6,0,510,0.107296137
2月5日,安徽,591,23,0,61,3,0,568,0.119607843
2月6日,安徽,665,47,0,74,24,0,618,0.13028169
2月7日,安徽,733,59,0,68,12,0,674,0.110032362
2月8日,安徽,779,72,1,46,13,1,706,0.068249258
2月9日,安徽,830,89,3,51,17,2,738,0.07223796
2月10日,安徽,860,108,4,30,19,1,748,0.040650407
2月11日,安徽,889,128,4,29,20,0,757,0.038770053
2月12日,安徽,910,166,5,21,38,1,739,0.027741083
2月13日,安徽,934,196,6,24,30,1,732,0.032476319
2月14日,安徽,950,232,6,16,36,0,712,0.021857923
2月15日,安徽,962,266,6,12,34,0,690,0.016853933
1月21日,澳门,1,0,0,0,0,0,1,0
1月22日,澳门,2,0,0,1,0,0,2,1
1月23日,澳门,2,0,0,0,0,0,2,0
1月24日,澳门,2,0,0,0,0,0,2,0
1月25日,澳门,5,0,0,3,0,0,5,1.5
1月26日,澳门,6,0,0,1,0,0,6,0.2
1月27日,澳门,7,0,0,1,0,0,7,0.166666667
1月28日,澳门,7,0,0,0,0,0,7,0
1月29日,澳门,7,0,0,0,0,0,7,0
1月30日,澳门,7,0,0,0,0,0,7,0
1月31日,澳门,7,0,0,0,0,0,7,0
2月1日,澳门,8,0,0,1,0,0,8,0.142857143
