日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊
2020/1/21,安徽,1,0,0,0,0,0,1
2020/1/22,安徽,9,0,0,8,0,0,9
2020/1/23,安徽,15,0,0,6,0,0,15
2020/1/24,安徽,39,0,0,24,0,0,39
2020/1/25,安徽,60,0,0,21,0,0,60
2020/1/26,安徽,70,0,0,10,0,0,70
2020/1/27,安徽,106,0,0,36,0,0,106
2020/1/28,安徽,152,2,0,46,2,0,150
2020/1/29,安徽,200,3,0,48,1,0,197
2020/1/30,安徽,237,3,0,37,0,0,234
2020/1/31,安徽,297,5,0,60,2,0,292
2020/2/1,安徽,340,6,0,43,1,0,334
2020/2/2,安徽,408,8,0,68,2,0,400
2020/2/3,安徽,480,14,0,72,6,0,466
2020/2/4,安徽,530,20,0,50,6,0,510
2020/2/5,安徽,591,23,0,61,3,0,568
2020/2/6,安徽,665,47,0,74,24,0,618
2020/2/7,安徽,733,59,0,68,12,0,674
2020/2/8,安徽,779,72,1,46,13,1,706
2020/2/9,安徽,830,89,3,51,17,2,738
2020/2/10,安徽,860,108,4,30,19,1,748
2020/2/11,安徽,889,128,4,29,20,0,757
2020/2/12,安徽,910,166,5,21,38,1,739
2020/2/13,安徽,934,196,6,24,30,1,732
2020/2/14,安徽,950,232,6,16,36,0,712
2020/1/21,澳门,1,0,0,0,0,0,1
2020/1/22,澳门,2,0,0,1,0,0,2
2020/1/23,澳门,2,0,0,0,0,0,2
2020/1/24,澳门,2,0,0,0,0,0,2
2020/1/25,澳门,5,0,0,3,0,0,5
2020/1/26,澳门,6,0,0,1,0,0,6
2020/1/27,澳门,7,0,0,1,0,0,7
2020/1/28,澳门,7,0,0,0,0,0,7
2020/1/29,澳门,7,0,0,0,0,0,7
2020/1/30,澳门,7,0,0,0,0,0,7
2020/1/31,澳门,7,0,0,0,0,0,7
2020/2/1,澳门,8,0,0,1,0,0,8
2020/2/2,澳门,8,0,0,0,0,0,8
2020/2/3,澳门,9,0,0,1,0,0,9
2020/2/4,澳门,10,0,0,1,0,0,10
2020/2/5,澳门,10,0,0,0,0,0,10
2020/2/6,澳门,10,1,0,0,1,0,9
2020/2/7,澳门,10,1,0,0,0,0,9
2020/2/8,澳门,10,1,0,0,0,0,9
2020/2/9,澳门,10,1,0,0,0,0,9
2020/2/10,澳门,10,1,0,0,0,0,9
2020/2/11,澳门,10,1,0,0,0,0,9
2020/2/12,澳门,10,2,0,0,1,0,8
2020/2/13,澳门,10,3,0,0,1,0,7
2020/2/14,澳门,10,3,0,0,0,0,7
2020/1/21,北京,10,0,0,0,0,0,10
2020/1/22,北京,22,0,0,12,0,0,22
2020/1/23,北京,36,0,0,14,0,0,36
2020/1/24,北京,41,1,0,5,1,0,40
2020/1/25,北京,54,1,0,13,0,0,53
2020/1/26,北京,80,1,1,26,0,1,78
2020/1/27,北京,91,3,1,11,2,0,87
2020/1/28,北京,111,3,1,20,0,0,107
2020/1/29,北京,114,4,1,3,1,0,109
2020/1/30,北京,139,4,1,25,0,0,134
2020/1/31,北京,168,4,1,29,0,0,163
2020/2/1,北京,191,8,1,23,4,0,182
2020/2/2,北京,212,12,1,21,4,0,199
2020/2/3,北京,228,23,1,16,11,0,204
2020/2/4,北京,253,24,1,25,1,0,228
2020/2/5,北京,274,31,1,21,7,0,242
2020/2/6,北京,297,33,1,23,2,0,263
2020/2/7,北京,315,34,2,18,1,1,279
2020/2/8,北京,326,37,2,11,3,0,287
2020/2/9,北京,337,44,2,11,7,0,291
2020/2/10,北京,342,48,3,5,4,1,291
2020/2/11,北京,352,56,3,10,8,0,293
2020/2/12,北京,366,68,3,14,12,0,295
2020/2/13,北京,372,79,3,6,11,0,290
2020/2/14,北京,372,79,3,0,0,0,290
2020/1/21,福建,1,0,0,0,0,0,1
2020/1/22,福建,5,0,0,4,0,0,5
2020/1/23,福建,10,0,0,5,0,0,10
2020/1/24,福建,18,0,0,8,0,0,18
2020/1/25,福建,18,0,0,0,0,0,18
2020/1/26,福建,59,0,0,41,0,0,59
2020/1/27,福建,80,0,0,21,0,0,80
2020/1/28,福建,84,0,0,4,0,0,84
2020/1/29,福建,101,0,0,17,0,0,101
2020/1/30,福建,120,0,0,19,0,0,120
2020/1/31,福建,144,0,0,24,0,0,144
2020/2/1,福建,159,0,0,15,0,0,159
2020/2/2,福建,179,0,0,20,0,0,179
2020/2/3,福建,194,1,0,15,1,0,193
2020/2/4,福建,205,7,0,11,6,0,198
2020/2/5,福建,215,11,0,10,4,0,204
2020/2/6,福建,224,15,0,9,4,0,209
2020/2/7,福建,239,20,0,15,5,0,219
2020/2/8,福建,250,24,0,11,4,0,226
2020/2/9,福建,261,35,0,11,11,0,226
2020/2/10,福建,267,39,0,6,4,0,228
2020/2/11,福建,272,46,0,5,7,0,226
2020/2/12,福建,279,54,0,7,8,0,225
2020/2/13,福建,281,59,0,2,5,0,222
2020/2/14,福建,285,66,0,4,7,0,219
2020/1/21,甘肃,0,0,0,0,0,0,0
2020/1/22,甘肃,2,0,0,2,0,0,2
2020/1/23,甘肃,2,0,0,0,0,0,2
2020/1/24,甘肃,4,0,0,2,0,0,4
2020/1/25,甘肃,7,0,0,3,0,0,7
2020/1/26,甘肃,14,0,0,7,0,0,14
2020/1/27,甘肃,19,0,0,5,0,0,19
2020/1/28,甘肃,24,0,0,5,0,0,24
2020/1/29,甘肃,26,0,0,2,0,0,26
2020/1/30,甘肃,29,0,0,3,0,0,29
2020/1/31,甘肃,40,0,0,11,0,0,40
2020/2/1,甘肃,40,3,0,0,3,0,37
2020/2/2,甘肃,51,3,0,11,0,0,48
2020/2/3,甘肃,55,3,0,4,0,0,52
2020/2/4,甘肃,57,4,0,2,1,0,53
2020/2/5,甘肃,62,4,0,5,0,0,58
2020/2/6,甘肃,67,9,0,5,5,0,58
2020/2/7,甘肃,71,9,1,4,0,1,61
2020/2/8,甘肃,79,13,1,8,4,0,65
2020/2/9,甘肃,83,17,2,4,4,1,64
2020/2/10,甘肃,86,21,2,3,4,0,63
2020/2/11,甘肃,86,24,2,0,3,0,60
2020/2/12,甘肃,87,31,2,1,7,0,54
2020/2/13,甘肃,90,39,2,3,8,0,49
2020/2/14,甘肃,90,44,2,0,5,0,44
2020/1/21,广东,26,0,0,0,0,0,26
2020/1/22,广东,32,2,0,6,2,0,30
2020/1/23,广东,53,2,0,21,0,0,51
2020/1/24,广东,78,2,0,25,0,0,76
2020/1/25,广东,98,2,0,20,0,0,96
2020/1/26,广东,151,3,0,53,1,0,148
2020/1/27,广东,207,4,0,56,1,0,203
2020/1/28,广东,277,6,0,70,2,0,271
2020/1/29,广东,354,10,0,77,4,0,344
2020/1/30,广东,436,11,0,82,1,0,425
2020/1/31,广东,535,11,0,99,0,0,524
2020/2/1,广东,632,13,0,97,2,0,619
