日期,省份,确诊人数,死亡人数,治愈人数
2020/1/21,安徽,1,0,0
2020/1/22,安徽,9,0,0
2020/1/23,安徽,15,0,0
2020/1/24,安徽,39,0,0
2020/1/25,安徽,60,0,0
2020/1/26,安徽,70,0,0
2020/1/27,安徽,106,0,0
2020/1/28,安徽,152,0,2
2020/1/29,安徽,200,0,3
2020/1/30,安徽,237,0,3
2020/1/31,安徽,297,0,5
2020/2/1,安徽,340,0,6
2020/2/2,安徽,408,0,8
2020/2/3,安徽,480,0,14
2020/2/4,安徽,530,0,20
2020/2/5,安徽,591,0,23
2020/2/6,安徽,665,0,47
2020/2/7,安徽,733,0,59
2020/2/8,安徽,779,1,72
2020/2/9,安徽,830,3,89
2020/2/10,安徽,860,4,108
2020/2/11,安徽,889,4,128
2020/1/21,澳门,1,0,0
2020/1/22,澳门,2,0,0
2020/1/23,澳门,2,0,0
2020/1/24,澳门,2,0,0
2020/1/25,澳门,5,0,0
2020/1/26,澳门,6,0,0
2020/1/27,澳门,7,0,0
2020/1/28,澳门,7,0,0
2020/1/29,澳门,7,0,0
2020/1/30,澳门,7,0,0
2020/1/31,澳门,7,0,0
2020/2/1,澳门,8,0,0
2020/2/2,澳门,8,0,0
2020/2/3,澳门,9,0,0
2020/2/4,澳门,10,0,0
2020/2/5,澳门,10,0,0
2020/2/6,澳门,10,0,1
2020/2/7,澳门,10,0,1
2020/2/8,澳门,10,0,1
2020/2/9,澳门,10,0,1
2020/2/10,澳门,10,0,1
2020/2/11,澳门,10,0,1
2020/1/21,北京,10,0,0
2020/1/22,北京,22,0,0
2020/1/23,北京,36,0,0
2020/1/24,北京,41,0,1
2020/1/25,北京,54,0,1
2020/1/26,北京,80,1,1
2020/1/27,北京,91,1,3
2020/1/28,北京,111,1,3
2020/1/29,北京,114,1,4
2020/1/30,北京,139,1,4
2020/1/31,北京,168,1,4
2020/2/1,北京,191,1,8
2020/2/2,北京,212,1,12
2020/2/3,北京,212,1,12
2020/2/4,北京,228,1,23
2020/2/5,北京,253,1,24
2020/2/6,北京,297,1,33
2020/2/7,北京,315,2,34
2020/2/8,北京,326,2,37
2020/2/9,北京,337,2,44
2020/2/10,北京,342,3,48
2020/2/11,北京,342,3,48
2020/1/21,福建,1,0,0
2020/1/22,福建,5,0,0
2020/1/23,福建,10,0,0
2020/1/24,福建,18,0,0
2020/1/25,福建,18,0,0
2020/1/26,福建,59,0,0
2020/1/27,福建,80,0,0
2020/1/28,福建,84,0,0
2020/1/29,福建,101,0,0
2020/1/30,福建,120,0,0
2020/1/31,福建,144,0,0
2020/2/1,福建,159,0,0
2020/2/2,福建,179,0,1
2020/2/3,福建,179,0,1
2020/2/4,福建,194,0,7
2020/2/5,福建,205,0,11
2020/2/6,福建,224,0,15
2020/2/7,福建,239,0,20
2020/2/8,福建,250,0,27
2020/2/9,福建,261,0,38
2020/2/10,福建,267,0,39
2020/2/11,福建,272,0,46
2020/1/21,甘肃,0,0,0
2020/1/22,甘肃,2,0,0
2020/1/23,甘肃,2,0,0
2020/1/24,甘肃,4,0,0
2020/1/25,甘肃,7,0,0
2020/1/26,甘肃,14,0,0
2020/1/27,甘肃,19,0,0
2020/1/28,甘肃,24,0,0
2020/1/29,甘肃,26,0,0
2020/1/30,甘肃,29,0,0
2020/1/31,甘肃,40,0,0
2020/2/1,甘肃,40,0,3
2020/2/2,甘肃,51,0,3
2020/2/3,甘肃,55,0,3
2020/2/4,甘肃,57,0,4
2020/2/5,甘肃,62,0,4
2020/2/6,甘肃,67,0,9
2020/2/7,甘肃,71,1,9
2020/2/8,甘肃,79,1,13
2020/2/9,甘肃,83,2,17
2020/2/10,甘肃,86,2,21
2020/2/11,甘肃,86,2,24
2020/1/21,广东,26,0,0
2020/1/22,广东,32,0,2
2020/1/23,广东,53,0,2
2020/1/24,广东,78,0,2
2020/1/25,广东,98,0,2
2020/1/26,广东,151,0,3
2020/1/27,广东,207,0,4
2020/1/28,广东,277,0,6
2020/1/29,广东,354,0,10
2020/1/30,广东,436,0,11
2020/1/31,广东,535,0,11
2020/2/1,广东,632,0,13
2020/2/2,广东,725,0,19
2020/2/3,广东,797,0,20
2020/2/4,广东,870,0,32
2020/2/5,广东,944,0,49
2020/2/6,广东,1034,1,88
2020/2/7,广东,1075,1,97
2020/2/8,广东,1120,1,127
2020/2/9,广东,1159,1,163
2020/2/10,广东,1177,1,181
2020/2/11,广东,1219,1,241
2020/1/21,广西,2,0,0
2020/1/22,广西,5,0,0
2020/1/23,广西,13,0,0
2020/1/24,广西,23,0,0
2020/1/25,广西,33,0,0
2020/1/26,广西,46,0,0
2020/1/27,广西,51,0,2
2020/1/28,广西,58,0,2
2020/1/29,广西,78,0,2
2020/1/30,广西,87,0,2
2020/1/31,广西,100,0,2
2020/2/1,广西,111,0,2
2020/2/2,广西,127,0,7
2020/2/3,广西,139,0,7
2020/2/4,广西,150,0,10
2020/2/5,广西,168,0,14
2020/2/6,广西,172,0,17
2020/2/7,广西,183,0,17
2020/2/8,广西,195,1,18
2020/2/9,广西,210,1,18
2020/2/10,广西,215,1,30
2020/2/11,广西,222,1,31
2020/1/21,贵州,1,0,0
2020/1/22,贵州,3,0,0
2020/1/23,贵州,3,0,0
2020/1/24,贵州,4,0,0
2020/1/25,贵州,5,0,0
2020/1/26,贵州,7,0,0
2020/1/27,贵州,9,0,0
2020/1/28,贵州,9,0,1
2020/1/29,贵州,12,0,1
2020/1/30,贵州,29,0,2
2020/1/31,贵州,29,0,2
2020/2/1,贵州,38,0,2
2020/2/2,贵州,46,0,2
2020/2/3,贵州,56,0,2
2020/2/4,贵州,64,0,5
2020/2/5,贵州,69,1,6
2020/2/6,贵州,83,1,6
2020/2/7,贵州,89,1,6
2020/2/8,贵州,96,1,7
2020/2/9,贵州,109,1,7
2020/2/10,贵州,127,1,13
2020/2/11,贵州,131,1,17
2020/1/21,海南,4,0,0
2020/1/22,海南,5,0,0
2020/1/23,海南,8,0,0
2020/1/24,海南,19,0,0
2020/1/25,海南,22,0,0
2020/1/26,海南,33,1,0
2020/1/27,海南,40,1,0
2020/1/28,海南,43,1,1
2020/1/29,海南,46,1,1
2020/1/30,海南,52,1,1
2020/1/31,海南,62,1,1
2020/2/1,海南,64,1,4
2020/2/2,海南,71,1,4
2020/2/3,海南,79,1,4
2020/2/4,海南,80,1,5
2020/2/5,海南,105,1,5
2020/2/6,海南,117,2,10
2020/2/7,海南,124,2,11
2020/2/8,海南,128,3,15
2020/2/9,海南,138,3,19
2020/2/10,海南,142,3,19
2020/2/11,海南,151,3,20
2020/1/21,河北,1,0,0
2020/1/22,河北,1,0,0
2020/1/23,河北,2,1,0
2020/1/24,河北,8,1,0
2020/1/25,河北,13,1,0
2020/1/26,河北,18,1,0
2020/1/27,河北,33,1,0
2020/1/28,河北,48,1,0
2020/1/29,河北,65,1,0
2020/1/30,河北,82,1,0
2020/1/31,河北,96,1,0
2020/2/1,河北,104,1,3
2020/2/2,河北,113,1,3
2020/2/3,河北,126,1,3
2020/2/4,河北,135,1,4
2020/2/5,河北,157,1,7
2020/2/6,河北,172,1,16
2020/2/7,河北,195,1,25
2020/2/8,河北,206,2,30
2020/2/9,河北,218,2,35
2020/2/10,河北,239,2,41
2020/2/11,河北,251,2,48
2020/1/21,河南,5,0,0
2020/1/22,河南,5,0,0
2020/1/23,河南,9,0,0
2020/1/24,河南,32,0,0
2020/1/25,河南,83,1,0
2020/1/26,河南,128,1,0
2020/1/27,河南,168,1,0
2020/1/28,河南,206,2,0
2020/1/29,河南,278,2,2
2020/1/30,河南,352,2,3
2020/1/31,河南,422,2,3
2020/2/1,河南,493,2,12
2020/2/2,河南,566,2,15
2020/2/3,河南,675,2,20
2020/2/4,河南,764,2,41
2020/2/5,河南,851,2,49
2020/2/6,河南,914,3,84
2020/2/7,河南,981,4,97
2020/2/8,河南,1033,6,131
2020/2/9,河南,1073,6,181
