日期,省份,确诊人数,治愈人数,死亡人数
1月21日,湖北,444,0,17
1月21日,浙江,10,0,0
1月21日,广东,26,0,0
1月21日,河南,5,0,0
1月21日,湖南,4,0,0
1月21日,安徽,1,0,0
1月21日,江西,2,0,0
1月21日,重庆,6,0,0
1月21日,四川,5,0,0
1月21日,山东,2,0,0
1月21日,江苏,0,0,0
1月21日,上海,9,0,0
1月21日,北京,10,0,0
1月21日,福建,1,0,0
1月21日,陕西,0,0,0
1月21日,广西,2,0,0
1月21日,河北,1,0,0
1月21日,云南,1,0,0
1月21日,黑龙江,0,0,0
1月21日,辽宁,2,0,0
1月21日,海南,4,0,0
1月21日,山西,1,0,0
1月21日,天津,4,0,0
1月21日,甘肃,0,0,0
1月21日,贵州,1,0,0
1月21日,宁夏,1,0,0
1月21日,内蒙古,0,0,0
1月21日,新疆,0,0,0
1月21日,吉林,0,0,0
1月21日,香港,0,0,0
1月21日,台湾,1,0,0
1月21日,青海,0,0,0
1月21日,澳门,1,0,0
1月21日,西藏,0,0,0
1月21日,总计,544,0,17
1月22日,湖北,444,28,17
1月22日,浙江,27,1,0
1月22日,广东,32,2,0
1月22日,河南,5,0,0
1月22日,湖南,9,0,0
1月22日,安徽,9,0,0
1月22日,江西,3,0,0
1月22日,重庆,9,0,0
1月22日,四川,8,0,0
1月22日,山东,6,0,0
1月22日,江苏,5,0,0
1月22日,上海,16,0,0
1月22日,北京,22,0,0
1月22日,福建,5,0,0
1月22日,陕西,3,0,0
1月22日,广西,5,0,0
1月22日,河北,1,0,0
1月22日,云南,1,0,0
1月22日,黑龙江,2,0,0
1月22日,辽宁,3,0,0
1月22日,海南,5,0,0
1月22日,山西,1,0,0
1月22日,天津,4,0,0
1月22日,甘肃,2,0,0
1月22日,贵州,3,0,0
1月22日,宁夏,1,0,0
1月22日,内蒙古,0,0,0
1月22日,新疆,2,0,0
1月22日,吉林,1,0,0
1月22日,香港,2,0,0
1月22日,台湾,1,0,0
1月22日,青海,0,0,0
1月22日,澳门,2,0,0
1月22日,西藏,0,0,0
1月22日,总计,639,0,17
1月23日,湖北,529,31,24
1月23日,浙江,43,1,0
1月23日,广东,53,2,0
1月23日,河南,9,0,0
1月23日,湖南,24,0,0
1月23日,安徽,15,0,0
1月23日,江西,7,0,0
1月23日,重庆,27,0,0
1月23日,四川,15,0,0
1月23日,山东,15,0,0
1月23日,江苏,9,0,0
1月23日,上海,20,1,0
1月23日,北京,36,0,0
1月23日,福建,10,0,0
1月23日,陕西,5,0,0
1月23日,广西,13,0,0
1月23日,河北,2,0,1
1月23日,云南,5,0,0
1月23日,黑龙江,4,0,1
1月23日,辽宁,4,0,0
1月23日,海南,8,0,0
1月23日,山西,1,0,0
1月23日,天津,8,0,0
1月23日,甘肃,2,0,0
1月23日,贵州,3,0,0
1月23日,宁夏,2,0,0
1月23日,内蒙古,2,0,0
1月23日,新疆,2,0,0
1月23日,吉林,3,0,0
1月23日,香港,2,0,0
1月23日,台湾,1,0,0
1月23日,青海,0,0,0
1月23日,澳门,2,0,0
1月23日,西藏,0,0,0
1月23日,总计,881,35,26
1月24日,湖北,730,32,39
1月24日,浙江,62,1,0
1月24日,广东,78,2,0
1月24日,河南,32,0,0
1月24日,湖南,43,0,0
1月24日,安徽,39,0,0
1月24日,江西,18,0,0
1月24日,重庆,57,0,0
1月24日,四川,28,0,0
1月24日,山东,27,0,0
1月24日,江苏,18,1,0
1月24日,上海,33,1,0
1月24日,北京,41,1,0
1月24日,福建,18,0,0
1月24日,陕西,15,0,0
1月24日,广西,23,0,0
1月24日,河北,8,0,1
1月24日,云南,11,0,0
1月24日,黑龙江,9,0,1
1月24日,辽宁,16,0,0
1月24日,海南,19,0,0
1月24日,山西,6,0,0
1月24日,天津,10,0,0
1月24日,甘肃,4,0,0
1月24日,贵州,4,0,0
1月24日,宁夏,3,0,0
1月24日,内蒙古,7,0,0
1月24日,新疆,3,0,0
1月24日,吉林,4,0,0
1月24日,香港,5,0,0
1月24日,台湾,3,0,0
1月24日,青海,1,0,0
1月24日,澳门,2,0,0
1月24日,西藏,0,0,0
1月24日,总计,1377,38,41
1月25日,湖北,1052,42,52
1月25日,浙江,104,1,0
1月25日,广东,98,2,0
1月25日,河南,83,0,1
1月25日,湖南,69,0,0
1月25日,安徽,60,0,0
1月25日,江西,36,0,0
1月25日,重庆,75,0,0
1月25日,四川,44,0,0
1月25日,山东,39,0,0
1月25日,江苏,31,1,0
1月25日,上海,40,1,1
1月25日,北京,54,1,0
1月25日,福建,18,0,0
1月25日,陕西,22,0,0
1月25日,广西,33,0,0
1月25日,河北,13,0,1
1月25日,云南,11,0,0
1月25日,黑龙江,15,0,1
1月25日,辽宁,19,0,0
1月25日,海南,22,0,0
1月25日,山西,9,0,0
1月25日,天津,13,0,0
1月25日,甘肃,7,0,0
1月25日,贵州,5,0,0
1月25日,宁夏,4,0,0
1月25日,内蒙古,7,0,0
1月25日,新疆,4,0,0
1月25日,吉林,4,0,0
1月25日,香港,5,0,0
1月25日,台湾,3,0,0
1月25日,青海,1,0,0
1月25日,澳门,5,0,0
1月25日,西藏,0,0,0
1月25日,总计,2005,48,56
1月26日,湖北,1423,44,76
1月26日,浙江,128,1,0
1月26日,广东,151,3,0
1月26日,河南,128,0,1
1月26日,湖南,100,0,0
1月26日,安徽,70,0,0
1月26日,江西,48,0,0
1月26日,重庆,110,0,0
1月26日,四川,69,0,0
1月26日,山东,75,1,0
1月26日,江苏,47,1,0
1月26日,上海,53,3,1
1月26日,北京,80,1,1
1月26日,福建,59,0,0
1月26日,陕西,35,0,0
1月26日,广西,46,0,0
1月26日,河北,18,0,1
1月26日,云南,26,0,0
1月26日,黑龙江,21,0,1
1月26日,辽宁,27,0,0
1月26日,海南,33,0,1
1月26日,山西,13,0,0
1月26日,天津,22,0,0
1月26日,甘肃,14,0,0
1月26日,贵州,7,0,0
1月26日,宁夏,7,0,0
1月26日,内蒙古,11,0,0
1月26日,新疆,5,0,0
1月26日,吉林,6,0,0
1月26日,香港,8,0,0
1月26日,台湾,5,0,0
1月26日,青海,6,0,0
1月26日,澳门,6,0,0
1月26日,西藏,0,0,0
1月26日,总计,2857,54,82
1月27日,湖北,2714,47,100
1月27日,浙江,173,3,0
1月27日,广东,207,4,0
1月27日,河南,168,0,1
1月27日,湖南,143,0,0
1月27日,安徽,106,0,0
1月27日,江西,72,3,0
1月27日,重庆,132,0,0
1月27日,四川,90,0,0
1月27日,山东,95,1,0
1月27日,江苏,70,1,0
1月27日,上海,66,4,1
1月27日,北京,91,3,1
1月27日,福建,80,0,0
1月27日,陕西,46,0,0
1月27日,广西,51,2,0
1月27日,河北,33,0,1
1月27日,云南,44,0,0
1月27日,黑龙江,30,0,1
1月27日,辽宁,34,0,0
1月27日,海南,40,0,1
1月27日,山西,20,0,0
1月27日,天津,24,0,0
1月27日,甘肃,19,0,0
1月27日,贵州,9,0,0
1月27日,宁夏,11,0,0
1月27日,内蒙古,15,0,0
1月27日,新疆,10,0,0
1月27日,吉林,8,0,0
1月27日,香港,8,0,0
1月27日,台湾,8,0,0
1月27日,青海,6,0,0
1月27日,澳门,7,0,0
1月27日,西藏,0,0,0
1月27日,总计,4630,68,106
1月28日,湖北,3554,80,125
1月28日,浙江,296,4,0
1月28日,广东,277,6,0
1月28日,河南,206,0,2
1月28日,湖南,221,0,0
1月28日,安徽,152,2,0
1月28日,江西,109,3,0
1月28日,重庆,147,0,0
1月28日,四川,108,1,0
1月28日,山东,130,1,0
1月28日,江苏,99,1,0
1月28日,上海,96,5,1
1月28日,北京,111,3,1
1月28日,福建,84,0,0
1月28日,陕西,56,0,0
1月28日,广西,58,2,0
1月28日,河北,48,0,1
1月28日,云南,55,0,0
1月28日,黑龙江,38,0,1
1月28日,辽宁,39,1,0
1月28日,海南,43,1,1
1月28日,山西,27,1,0
1月28日,天津,27,0,0
1月28日,甘肃,24,0,0
1月28日,贵州,9,1,0
1月28日,宁夏,12,0,0
1月28日,内蒙古,16,0,0
1月28日,新疆,13,0,0
1月28日,吉林,9,0,0
1月28日,香港,10,0,0
1月28日,台湾,8,0,0
1月28日,青海,7,0,0
1月28日,澳门,7,0,0
1月28日,西藏,0,0,0
1月28日,总计,6096,112,132
1月29日,湖北,4903,90,162
1月29日,浙江,428,8,0
1月29日,广东,354,10,0
1月29日,河南,278,2,2
1月29日,湖南,277,2,0
1月29日,安徽,200,3,0
1月29日,江西,162,3,0
1月29日,重庆,182,2,0
1月29日,四川,142,1,1
1月29日,山东,158,1,0
1月29日,江苏,129,1,0
1月29日,上海,112,5,1
1月29日,北京,114,4,1
1月29日,福建,101,0,0
1月29日,陕西,63,0,0
1月29日,广西,78,2,0
1月29日,河北,65,0,1
1月29日,云南,70,0,0
1月29日,黑龙江,44,0,2
1月29日,辽宁,41,1,0
1月29日,海南,46,1,1
1月29日,山西,35,1,0
1月29日,天津,31,0,0
1月29日,甘肃,26,0,0
