modelId,semantic,occur
100,hanger,2612
101,kitchen_cabinet,8498
102,refrigerator,18501
104,desk,7700
105,desk,5715
106,office_chair,13730
107,desk,4033
108,desk,5117
109,coffee_table,5394
110,television,4050
111,television,12344
112,television,8149
113,television,6604
114,television,17943
115,tv_stand,4915
116,tv_stand,5681
117,tv_stand,1906
118,hanger,3800
119,coffee_table,2591
120,laptop,27232
121,wardrobe_cabinet,15737
122,door,52103
123,hanger,4766
124,wall_lamp,19214
125,kitchen_cabinet,2443
126,window,24008
127,wall_lamp,15149
128,stand,1660
129,dresser,3930
130,plant,21585
131,refrigerator,9296
132,sink,6991
133,door,27963
135,shower,17481
136,fish_tank,4395
137,kitchen_cabinet,1999
138,kitchen_cabinet,2273
139,shower,17452
140,dresser,3301
141,dressing_table,1469
142,chair,7878
143,piano,5254
144,mirror,18973
145,shoes_cabinet,4498
146,stand,8732
147,stand,4223
148,book,15735
149,cup,26890
150,toilet,6986
151,stairs,4080
152,stairs,8090
153,rug,19824
154,pan,7888
155,sofa,2680
156,sofa,4853
157,sofa,3901
166,armchair,2216
167,sofa,6161
168,sofa,3422
169,sofa,5196
170,sofa,1101
171,coffee_table,4753
172,coffee_table,635
173,coffee_table,4395
174,coffee_table,3680
175,wall_lamp,1400
176,wall_lamp,10175
178,wall_lamp,411
179,wall_lamp,6421
180,wall_lamp,5463
181,sink,7447
182,wardrobe_cabinet,7324
183,sink,5185
184,wardrobe_cabinet,6037
185,game_table,5420
186,sink,4414
187,wardrobe_cabinet,6462
188,shelving,4405
189,computer,37059
190,baby_bed,3637
191,bookshelf,5298
192,shelving,5692
193,shelving,3202
194,wardrobe_cabinet,1186
195,stand,1990
196,armchair,2517
197,stand,7964
198,tv_stand,1674
199,dressing_table,2710
200,dressing_table,2356
201,dressing_table,1317
202,dressing_table,2041
203,dressing_table,7349
204,double_bed,4389
205,double_bed,7087
206,water_dispenser,9576
207,shelving,2035
208,hanger,4335
209,window,44516
210,window,34370
211,window,34775
212,window,32387
213,window,19009
214,door,32662
215,television,6756
216,television,11038
217,hanger,5603
218,stereo_set,12854
219,dishwasher,4598
220,food_processor,5939
221,coffee_machine,10867
222,microwave,15270
